Speaker,Sentences
[OTH],"School days, school days, teacher's golden ru..."
[OTH],"Ah, damn it! My little brother's trying to follow me to school again."
[OTH],Eat banana.
[OTH],"Ike, you can't come to school with me."
Cartman,"Yeah, go home you little dildo!"
[OTH],"Dude, don't call my brother a dildo!"
[OTH],What's a dildo?
[OTH],"Well, I don't know... and I'll bet Cartman doesn't know either!"
Cartman,I know what it means!
[OTH],"Well, what?"
Cartman,I'm not telling you.
[OTH],"What's a dildo, Kenny?"
[OTH],(It's a plastic dick that goes in a vagina.)
Cartman,"He-yeah, that's what Kyle's little brother is all right! Ow!"
[OTH],"Dude, that kicks ass!"
[OTH],"Yeah, check this one out. Ready Ike? Kick the baby!"
[OTH],Don't kick the baby.
[OTH],Kick the baby.
[OTH],"Whoa, Cartman! Looks like you didn't get much sleep last night."
Cartman,That's 'cause I was having these bogus nightmares.
[OTH],Really? What about?
Cartman,"Well, I dreamt that I was lying in my bed..."
Cartman,"...in the dark, when all of a sudden this bright blue light filled the room."
Cartman,Then slowly my bedroom door began to open...
Cartman,"...and then the next thing I remember, I was being drug through a hallway."
Cartman,Weeaak!
Cartman,Then I was lying on a table...
Cartman,...and these scary aliens wanted to operate on me. And they had big heads and big black eyes.
[OTH],Dude! Visitors!
[OTH],Totally!
Cartman,What?
[OTH],"That wasn't a dream Cartman, those were visitors!"
Cartman,"No, it was just a dream, my mom said so."
[OTH],Visitors are real.
[OTH],"Yeah, they abduct people and they mutilate cows."
Cartman,"Oh, shut up, guys! You're just trying to make me scared. And it's not working."
[OTH],"Hello there, children."
[OTH],"Hey, Chef."
[OTH],"What's gonna be for lunch today, Chef?"
[OTH],"Well, today it's Salisbury steak with buttered noodles and a choice of green bean casserole or vegetable medley."
Cartman,Kick ass.
[OTH],"Say, did any of you children see the alien space ship last night?"
Cartman,Huh?
[OTH],"Yeah, fat boy saw it!"
Cartman,"Eh, no, that, that was just a dream. And I'm not fat, I'm big boned!"
[OTH],"Oh, was it the ones with the big long heads and the black eyes?"
Cartman,Oh!
[OTH],They took him on their ship.
[OTH],Oh! Did they give you an anal probe?
Cartman,Oh!
[OTH],What's an anal probe?
[OTH],That's when they put this big metal hoop-a-joop up yo' butt.
[OTH],Whoa! They gave you an anal probe Cartman?
Cartman,"No! Uh-I mean, eh, why would they do that?"
[OTH],"Dude, they did, huh? Aliens stuck stuff up your ass!"
Cartman,No!
[OTH],Eneh probe.
Cartman,"Shut up, dildo!"
[OTH],"Well, I gotta get to the cafeteria. You children watch that fat boy now. He could be under alien control."
Cartman,Oh!
[OTH],We told you they were real Cartman. Sorry to hear about your ass.
Cartman,"God damn it, they didn't do anything to my ass! It was just a dream!"
[OTH],Why you walkin' so funny Cartman?
Cartman,Shut up!
[OTH],Oh foonuh bebe.
[OTH],"No, Ike, go home."
[OTH],Eeeeee!
[OTH],This is it. This one's for the game.
[OTH],Purplor.
[OTH],Kick the baby!
[OTH],"Good morning, Miss Crabtree."
[OTH],"SIT DOWN! WE""RE RUNNING LATE!"
[OTH],"Damn it, he's still there."
[OTH],"Oh, don't worry about him."
[OTH],"No, dude, if something happens to him, my parents are gonna blame me."
[OTH],SIT DOWN BACK THERE! AAAAAAH!!
[OTH],"Yeah, whatever, ya fat bitch."
[OTH],WHAT DID YOU SAY?
[OTH],I said I have a bad itch.
[OTH],Oh.
[OTH],"Oh, my God!"
[OTH],Visitors!
[OTH],(Oh nooo!)
[OTH],"Ike! STOP THE BUUUUUS! Ms. Crabtree, you have to stop this bus!"
[OTH],"SIT DOWN, KID!"
[OTH],But I have to get off!
[OTH],DO YOU WANT AN OFFICE REFERRAL!?
[OTH],No.
[OTH],Then sit down!
[OTH],But I...
[OTH],Arrgghhh!
[OTH],Arrghh!
[OTH],Arrrggghhh!
[OTH],"Cartman, are those the same Visitors you saw?"
Cartman,"Shut up you guys, it's not working."
[OTH],We have to do something!
[OTH],"Well, we can't do anything for now, that fat bitch won't let us."
[OTH],WHAT DID YOU SAY?!
[OTH],"Uh, I said that rabbits eat lettuce."
[OTH],"Oh. Well, yes, they certainly do."
[OTH],What am I going to do? My little brother's been abducted by aliens. You farted.
Cartman,"Heh, somebody's baking brownies."
[OTH],That's the third cow this month. At this rate all my cattle are gonna die before the winter's through.
[OTH],This is nothing out of the unusual. Cows turn themselves inside out all the time.
[OTH],People been saying they've been seeing UFO's around.
[OTH],UFO's?
[OTH],"Yeah, and black army CIA helicopters and trucks."
[OTH],That is the silliest thing I've ever heard.
[OTH],What was that?
[OTH],"That, that was a pigeon."
[OTH],"What am I supposed to do, Barbrady? Just stand here and watch my cattle get mutilated one by one?"
[OTH],Hey! My cattle!
[OTH],You see? There is somethin' funny goin' on!
[OTH],There's nothing funny going on. I'll get those cows back.
[OTH],"And now children, our friend, Mr. Hat, is going to tell us about Christopher Columbus."
[OTH],"That's right, Mr. Garrison. Christopher Columbus discovered America and was the Indians' best friend. He helped the Indians win their war against Fredrick Douglass and a freed the Hebrews from Napoleon and discovered France. And then in 1492, Columbus started a restaurant..."
[OTH],"Oh, man. I can't just sit here, I have to help my stupid brother, or I'll come home without him and my dad will start yelling, ""Where's your brother, Kyle?"" ""You weren't looking out for your little brother, Kyle?"""
